[03 sep 21:52:03] CREATE:ItemAuction, item 268437784:Improved Ring of Queen Ant(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437785:Lava Saw(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437786:Refined Black Feather Mask(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437787:Vigwik Axe(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437788:Green Soul Crystal - Stage 15(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437789:Vigwik Axe(1)
[03 sep 21:58:46] CREATE:Hellbound Map, item 268483949:Map of Hellbound(1), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 23:07:18] CREATE:Loot, item 268484602:Adena(50120), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477921]
[03 sep 23:08:00] CREATE:Loot, item 268484606:Adena(14447), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268481420]
[03 sep 23:08:00] CREATE:Loot, item 268484607:High-Grade Suede(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268481420]
[03 sep 23:08:39] CHANGE:Pickup, item 268482500:Adena(38544699546), PrevCount(38544685099), L2PcInstance:Kira[268481600]
[03 sep 23:08:39] DELETE:Pickup, item 268484606:Adena(0), PrevCount(14447), L2PcInstance:Kira[268481600]
[03 sep 23:08:41] CHANGE:Pickup, item 268482500:Adena(38544715448), PrevCount(38544699546), L2PcInstance:Kira[268481600]
[03 sep 23:08:41] DELETE:Pickup, item 268484599:Adena(0), PrevCount(15902), L2PcInstance:Kira[268481600]
[03 sep 23:08:43] CHANGE:Pickup, item 268482500:Adena(38544764462), PrevCount(38544715448), L2PcInstance:Kira[268481600]
[03 sep 23:08:43] DELETE:Pickup, item 268484601:Adena(0), PrevCount(49014), L2PcInstance:Kira[268481600]
[03 sep 23:08:45] CHANGE:Pickup, item 268482500:Adena(38544808109), PrevCount(38544764462), L2PcInstance:Kira[268481600]
[03 sep 23:08:45] DELETE:Pickup, item 268484596:Adena(0), PrevCount(43647), L2PcInstance:Kira[268481600]
[03 sep 23:08:47] CHANGE:Pickup, item 268482500:Adena(38544851190), PrevCount(38544808109), L2PcInstance:Kira[268481600]
[03 sep 23:08:47] DELETE:Pickup, item 268484598:Adena(0), PrevCount(43081), L2PcInstance:Kira[268481600]
[03 sep 23:08:49] CHANGE:Pickup, item 268482500:Adena(38544899596), PrevCount(38544851190), L2PcInstance:Kira[268481600]
[03 sep 23:08:49] DELETE:Pickup, item 268484597:Adena(0), PrevCount(48406), L2PcInstance:Kira[268481600]
[03 sep 23:09:07] CREATE:Loot, item 268484613:Adena(367516), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477969]
[03 sep 23:09:16] CHANGE:Pickup, item 268482500:Adena(38545267112), PrevCount(38544899596), L2PcInstance:Kira[268481600]
[03 sep 23:09:16] DELETE:Pickup, item 268484613:Adena(0), PrevCount(367516), L2PcInstance:Kira[268481600]
[03 sep 23:18:01] CREATE:Loot, item 268484698:Vote Coin(13272529), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484675]
[03 sep 23:18:01] CREATE:Loot, item 268484699:Holy Stone(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484675]
[03 sep 23:18:18] SETOWNER:Pickup, item 268484699:Holy Stone(1), L2PcInstance:Kira[268481600]
[03 sep 23:19:03] CREATE:Loot, item 268484707:Vote Coin(11371085), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484676]
[03 sep 23:19:03] CREATE:Loot, item 268484708:Holy Stone(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484676]
[03 sep 23:19:03] CREATE:Loot, item 268484709:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484676]
[03 sep 23:19:25] CREATE:Loot, item 268484712:Adena(16980), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484700]
[03 sep 23:19:25] CREATE:Loot, item 268484713:Shining Arrow(265), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484700]
[03 sep 23:19:40] CREATE:Loot, item 268484715:Adena(10792), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484714]
[03 sep 23:19:40] CREATE:Loot, item 268484716:Cokes(3), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484714]
[03 sep 23:19:40] CREATE:Loot, item 268484717:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484714]
[03 sep 23:19:40] CREATE:Loot, item 268484718:Adena(375211), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477966]
[03 sep 23:19:40] CREATE:Loot, item 268484719:Adena(48536), L2PcInstance:Kira[268481600], L2MonsterInstance:Titan(6005)[268477918]
[03 sep 23:19:40] CREATE:Loot, item 268484720:Adena(42396), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477923]
[03 sep 23:20:02] CREATE:Loot, item 268484723:Adena(369880), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477950]
[03 sep 23:20:02] CREATE:Loot, item 268484724:Adena(368153), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477970]
[03 sep 23:20:02] CREATE:Loot, item 268484725:Adena(373603), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477933]
[03 sep 23:20:10] CREATE:Loot, item 268484727:Donation Coin(1565395), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484726]
[03 sep 23:20:10] CREATE:Loot, item 268484728:Shining Arrow(246), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484726]
[03 sep 23:20:10] CREATE:Loot, item 268484729:Vote Coin(10136151), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484721]
[03 sep 23:20:10] CREATE:Loot, item 268484730:Adamantine(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484721]
[03 sep 23:20:10] CREATE:Loot, item 268484731:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484721]
[03 sep 23:20:17] CREATE:Loot, item 268484732:Donation Coin(1113851), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268481419]
[03 sep 23:20:17] CREATE:Loot, item 268484733:High-Grade Suede(2), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268481419]
[03 sep 23:20:17] CREATE:Loot, item 268484734:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268481419]
[03 sep 23:20:41] CREATE:Loot, item 268484743:Gold Knight(11488964), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484742]
[03 sep 23:20:41] CREATE:Loot, item 268484744:Cokes(3), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484742]
[03 sep 23:20:41] CREATE:Loot, item 268484745:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484742]
[03 sep 23:20:48] CREATE:Loot, item 268484747:Adena(16414), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484741]
[03 sep 23:20:48] CREATE:Loot, item 268484748:Orichalcum(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484741]
[03 sep 23:20:52] CREATE:Loot, item 268484749:Adena(377742), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477971]
[03 sep 23:21:10] CREATE:Loot, item 268484752:Adena(375573), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477975]
[03 sep 23:21:17] CREATE:Loot, item 268484754:Donation Coin(1449133), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484753]
[03 sep 23:21:17] CREATE:Loot, item 268484755:High-Grade Suede(2), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484753]
[03 sep 23:21:19] CREATE:Loot, item 268484756:Vote Coin(11214707), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484751]
[03 sep 23:21:19] CREATE:Loot, item 268484757:High-Grade Suede(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484751]
[03 sep 23:21:19] CREATE:Loot, item 268484758:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484751]
[03 sep 23:22:57] CHANGE:Consume, item 268482853:Spirit Ore(648), PrevCount(649), L2PcInstance:Kira[268481600]
[03 sep 23:23:36] CREATE:Loot, item 268484799:Adena(15202), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484760]
[03 sep 23:23:36] CREATE:Loot, item 268484800:High-Grade Suede(2), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484760]
[03 sep 23:23:36] CREATE:Loot, item 268484801:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484760]
[03 sep 23:23:44] CREATE:Loot, item 268484802:Adena(48486), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477930]
[03 sep 23:23:44] CREATE:Loot, item 268484803:Adena(41160), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477957]
[03 sep 23:23:44] CREATE:Loot, item 268484804:Adena(45368), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477961]
[03 sep 23:23:44] CREATE:Loot, item 268484805:Adena(47070), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477968]
[03 sep 23:23:53] CREATE:Loot, item 268484806:Adena(370919), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477938]
[03 sep 23:26:43] CREATE:Loot, item 268484830:Donation Coin(11183108), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484807]
[03 sep 23:26:43] CREATE:Loot, item 268484831:Shining Arrow(1986), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484807]
[03 sep 23:26:43] CREATE:Loot, item 268484832:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484807]
[03 sep 23:27:17] CREATE:Loot, item 268484852:Gold Knight(451267), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484835]
[03 sep 23:27:17] CREATE:Loot, item 268484853:Leonard(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484835]
[03 sep 23:27:17] CREATE:Loot, item 268484854:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484835]
[03 sep 23:32:44] CREATE:Loot, item 268484946:Gold Knight(411775), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484869]
[03 sep 23:32:44] CREATE:Loot, item 268484947:Shining Arrow(234), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484869]
[03 sep 23:32:44] CREATE:Loot, item 268484948:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484869]
[03 sep 23:32:44] CREATE:Loot, item 268484949:Adena(45287), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477955]
[03 sep 23:32:44] CREATE:Loot, item 268484950:Adena(42057), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477963]
[03 sep 23:32:44] CREATE:Loot, item 268484951:Adena(47892), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477973]
[03 sep 23:32:44] CREATE:Loot, item 268484952:Vote Coin(13805077), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484881]
[03 sep 23:32:44] CREATE:Loot, item 268484953:Shining Arrow(226), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484881]
[03 sep 23:32:44] CREATE:Loot, item 268484954:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484881]
[03 sep 23:32:44] CREATE:Loot, item 268484955:Adena(10970), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484921]
[03 sep 23:32:44] CREATE:Loot, item 268484956:Adamantine(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484921]
[03 sep 23:32:44] CREATE:Loot, item 268484957:Gold Knight(401360), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484924]
[03 sep 23:32:44] CREATE:Loot, item 268484958:Leonard(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484924]
[03 sep 23:32:44] CREATE:Loot, item 268484959:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484924]
[03 sep 23:32:44] CREATE:Loot, item 268484960:Donation Coin(1334849), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484930]
[03 sep 23:32:44] CREATE:Loot, item 268484961:Orichalcum(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484930]
[03 sep 23:33:03] CREATE:Loot, item 268484964:Adena(65919), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484933]
[03 sep 23:33:03] CREATE:Loot, item 268484965:Shining Arrow(1987), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484933]
[03 sep 23:33:03] CREATE:Loot, item 268484966:Sealed Leather Armor of Nightmare Fabric(2), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484933]
[03 sep 23:33:08] CREATE:Loot, item 268484967:Gold Knight(439241), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484909]
[03 sep 23:33:08] CREATE:Loot, item 268484968:Shining Arrow(159), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484909]
[03 sep 23:33:38] CHANGE:Scheme system, item 268482500:Adena(38545264512), PrevCount(38545267112), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 23:33:45] CREATE:Loot, item 268484971:Adena(17100), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484923]
[03 sep 23:33:45] CREATE:Loot, item 268484972:Shining Arrow(185), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484923]
[03 sep 23:33:45] CREATE:Loot, item 268484973:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484923]
[03 sep 23:33:58] CREATE:Loot, item 268484976:Vote Coin(14332646), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484867]
[03 sep 23:33:58] CREATE:Loot, item 268484977:Shining Arrow(280), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484867]
[03 sep 23:33:58] CREATE:Loot, item 268484978:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484867]
[03 sep 23:34:01] CREATE:Loot, item 268484979:Donation Coin(1296135), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484907]
[03 sep 23:34:01] CREATE:Loot, item 268484980:Shining Arrow(244), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484907]
[03 sep 23:34:01] CREATE:Loot, item 268484981:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484907]
[03 sep 23:34:12] CREATE:Loot, item 268484982:Gold Knight(405742), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484916]
[03 sep 23:34:12] CREATE:Loot, item 268484983:Leonard(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484916]
[03 sep 23:34:16] CREATE:Loot, item 268484984:Gold Knight(336674), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484761]
[03 sep 23:34:16] CREATE:Loot, item 268484985:Shining Arrow(283), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484761]
[03 sep 23:34:18] CHANGE:Consume, item 268482853:Spirit Ore(644), PrevCount(648), L2PcInstance:Kira[268481600]
[03 sep 23:34:19] CREATE:Loot, item 268484986:Adena(46435), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477959]
[03 sep 23:34:19] CREATE:Loot, item 268484987:Donation Coin(1403278), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484910]
[03 sep 23:34:19] CREATE:Loot, item 268484988:Adamantine(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484910]
[03 sep 23:34:19] CREATE:Loot, item 268484989:Adena(15695), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484912]
[03 sep 23:34:19] CREATE:Loot, item 268484990:Shining Arrow(242), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484912]
[03 sep 23:34:19] CREATE:Loot, item 268484991:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484912]
[03 sep 23:34:19] CREATE:Loot, item 268484992:Donation Coin(1300686), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484935]
[03 sep 23:34:19] CREATE:Loot, item 268484993:Shining Arrow(218), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484935]
[03 sep 23:34:19] CREATE:Loot, item 268484994:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484935]
[03 sep 23:34:19] CREATE:Loot, item 268484995:Adena(43525), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477944]
[03 sep 23:34:22] CHANGE:Consume, item 268482853:Spirit Ore(640), PrevCount(644), L2PcInstance:Kira[268481600]
[03 sep 23:34:23] CREATE:Loot, item 268484996:Gold Knight(435453), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484856]
[03 sep 23:34:23] CREATE:Loot, item 268484997:Shining Arrow(245), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484856]
[03 sep 23:34:23] CREATE:Loot, item 268484998:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484856]
[03 sep 23:34:23] CREATE:Loot, item 268484999:Gold Knight(415269), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484908]
[03 sep 23:34:23] CREATE:Loot, item 268485000:Shining Arrow(226), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484908]
[03 sep 23:34:23] CREATE:Loot, item 268485001:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484908]
[03 sep 23:34:23] CREATE:Loot, item 268485002:Gold Knight(404548), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484911]
[03 sep 23:34:23] CREATE:Loot, item 268485003:Shining Arrow(216), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484911]
[03 sep 23:34:23] CREATE:Loot, item 268485004:Donation Coin(1368011), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484914]
[03 sep 23:34:23] CREATE:Loot, item 268485005:Shining Arrow(248), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484914]
[03 sep 23:34:23] CREATE:Loot, item 268485006:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484914]
[03 sep 23:34:23] CREATE:Loot, item 268485007:Gold Knight(387851), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484915]
[03 sep 23:34:23] CREATE:Loot, item 268485008:Shining Arrow(254), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484915]
[03 sep 23:34:23] CREATE:Loot, item 268485009:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484915]
[03 sep 23:34:23] CREATE:Loot, item 268485010:Donation Coin(1231672), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484918]
[03 sep 23:34:23] CREATE:Loot, item 268485011:Shining Arrow(215), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484918]
[03 sep 23:34:23] CREATE:Loot, item 268485012:Donation Coin(1474166), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484920]
[03 sep 23:34:23] CREATE:Loot, item 268485013:Mid-Grade Life Stone - Level 84(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484920]
[03 sep 23:34:23] CREATE:Loot, item 268485014:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484920]
[03 sep 23:34:23] CREATE:Loot, item 268485015:Adena(10331), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484927]
[03 sep 23:34:23] CREATE:Loot, item 268485016:Shining Arrow(241), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484927]
[03 sep 23:34:23] CREATE:Loot, item 268485017:Sealed Majestic Leather Armor Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484927]
[03 sep 23:34:23] CREATE:Loot, item 268485018:Gold Knight(385760), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484928]
[03 sep 23:34:23] CREATE:Loot, item 268485019:Holy Stone(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484928]
[03 sep 23:34:23] CREATE:Loot, item 268485020:Sealed Leather Armor of Nightmare Fabric(1), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484928]
[03 sep 23:34:23] CREATE:Loot, item 268485021:Donation Coin(1425192), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484929]
[03 sep 23:34:23] CREATE:Loot, item 268485022:Shining Arrow(248), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268484929]
